query_id,query_text,tau_method,traditional_recall,semantic_recall,tolerant_recall,n_semantic_neighbors,tolerance_pct_used,tolerant_minus_traditional
23,double free vulnerability in archive extraction library,Hybrid,0.560000,0.571429,1.000000,7,0.4655,0.440000
23,double free vulnerability in archive extraction library,Taumode,0.520000,0.428571,1.000000,7,0.4655,0.480000
24,improper signature verification in software update channel,Cosine,1.000000,1.000000,1.000000,7,0.3100,0.000000
24,improper signature verification in software update channel,Hybrid,0.120000,0.000000,1.000000,7,0.3100,0.880000
24,improper signature verification in software update channel,Taumode,0.080000,0.000000,1.000000,7,0.3100,0.920000
25,authentication brute force due to missing rate limiting,Cosine,1.000000,1.000000,1.000000,7,0.2682,0.000000
25,authentication brute force due to missing rate limiting,Hybrid,0.040000,0.000000,1.000000,7,0.2682,0.960000
25,authentication brute force due to missing rate limiting,Taumode,0.000000,0.000000,1.000000,7,0.2682,1.000000
26,authentication bypass via JWT token manipulation,Cosine,1.000000,1.000000,1.000000,7,0.3176,0.000000
26,authentication bypass via JWT token manipulation,Hybrid,0.040000,0.142857,1.000000,7,0.3176,0.960000
26,authentication bypass via JWT token manipulation,Taumode,0.000000,0.000000,1.000000,7,0.3176,1.000000
27,use-after-free vulnerability in browser rendering engine,Cosine,1.000000,1.000000,1.000000,7,0.3388,0.000000
27,use-after-free vulnerability in browser rendering engine,Hybrid,0.920000,1.000000,1.000000,7,0.3388,0.080000
27,use-after-free vulnerability in browser rendering engine,Taumode,0.920000,1.000000,1.000000,7,0.3388,0.080000
28,hardcoded credentials in firmware update mechanism,Cosine,1.000000,1.000000,1.000000,7,0.5065,0.000000
28,hardcoded credentials in firmware update mechanism,Hybrid,1.000000,1.000000,1.000000,7,0.5065,0.000000
28,hardcoded credentials in firmware update mechanism,Taumode,0.960000,1.000000,1.000000,7,0.5065,0.040000
29,authorization bypass in GraphQL mutation resolver,Cosine,1.000000,1.000000,1.000000,7,0.6182,0.000000
29,authorization bypass in GraphQL mutation resolver,Hybrid,1.000000,1.000000,1.000000,7,0.6182,0.000000
29,authorization bypass in GraphQL mutation resolver,Taumode,0.960000,1.000000,1.000000,7,0.6182,0.040000
30,XML external entity XXE injection in SOAP parser,Cosine,1.000000,1.000000,1.000000,7,0.5880,0.000000
30,XML external entity XXE injection in SOAP parser,Hybrid,0.360000,0.428571,1.000000,7,0.5880,0.640000
30,XML external entity XXE injection in SOAP parser,Taumode,0.040000,0.000000,1.000000,7,0.5880,0.960000
31,improper access control in REST API DELETE method,Cosine,1.000000,1.000000,1.000000,7,0.4225,0.000000
31,improper access control in REST API DELETE method,Hybrid,0.040000,0.000000,1.000000,7,0.4225,0.960000
31,improper access control in REST API DELETE method,Taumode,0.000000,0.000000,1.000000,7,0.4225,1.000000
32,arbitrary file upload leading to remote code execution,Cosine,1.000000,1.000000,1.000000,7,0.2375,0.000000
32,arbitrary file upload leading to remote code execution,Hybrid,0.040000,0.142857,1.000000,7,0.2375,0.960000
32,arbitrary file upload leading to remote code execution,Taumode,0.000000,0.000000,1.000000,7,0.2375,1.000000
33,open redirect in single sign-on logout flow,Cosine,1.000000,1.000000,1.000000,7,0.2930,0.000000
33,open redirect in single sign-on logout flow,Hybrid,0.000000,0.000000,0.520000,7,0.2930,0.520000
33,open redirect in single sign-on logout flow,Taumode,0.000000,0.000000,1.000000,7,0.2930,1.000000
34,cross-tenant data exposure in multi-tenant storage service,Cosine,1.000000,1.000000,1.000000,7,0.2151,0.000000
34,cross-tenant data exposure in multi-tenant storage service,Hybrid,0.920000,1.000000,1.000000,7,0.2151,0.080000
34,cross-tenant data exposure in multi-tenant storage service,Taumode,0.880000,0.857143,1.000000,7,0.2151,0.120000
35,stack-based buffer overflow in DHCP client,Cosine,1.000000,1.000000,1.000000,7,0.4073,0.000000
35,stack-based buffer overflow in DHCP client,Hybrid,0.960000,1.000000,1.000000,7,0.4073,0.040000
35,stack-based buffer overflow in DHCP client,Taumode,0.440000,1.000000,1.000000,7,0.4073,0.560000
36,server-side request forgery SSRF in URL preview feature,Cosine,1.000000,1.000000,1.000000,7,0.1819,0.000000
36,server-side request forgery SSRF in URL preview feature,Hybrid,0.720000,1.000000,1.000000,7,0.1819,0.280000
36,server-side request forgery SSRF in URL preview feature,Taumode,0.200000,0.000000,1.000000,7,0.1819,0.800000
37,NoSQL injection in user search API,Cosine,1.000000,1.000000,1.000000,7,0.3010,0.000000
37,NoSQL injection in user search API,Hybrid,1.000000,1.000000,1.000000,7,0.3010,0.000000
37,NoSQL injection in user search API,Taumode,1.000000,1.000000,1.000000,7,0.3010,0.000000
38,improper input validation in SAML assertion processing,Cosine,1.000000,1.000000,1.000000,7,0.8526,0.000000
38,improper input validation in SAML assertion processing,Hybrid,0.240000,0.428571,1.000000,7,0.8526,0.760000
38,improper input validation in SAML assertion processing,Taumode,0.080000,0.000000,1.000000,7,0.8526,0.920000
39,denial of service via malformed network packets,Cosine,1.000000,1.000000,1.000000,7,0.1000,0.000000
39,denial of service via malformed network packets,Hybrid,0.880000,1.000000,1.000000,7,0.1000,0.120000
39,denial of service via malformed network packets,Taumode,0.000000,0.000000,1.000000,7,0.1000,1.000000
40,remote code execution in ERP web component,Cosine,1.000000,1.000000,1.000000,7,0.2240,0.000000
40,remote code execution in ERP web component,Hybrid,0.960000,0.857143,1.000000,7,0.2240,0.040000
40,remote code execution in ERP web component,Taumode,0.960000,0.857143,1.000000,7,0.2240,0.040000
41,null pointer dereference in Bluetooth service,Cosine,1.000000,1.000000,1.000000,7,0.2176,0.000000
41,null pointer dereference in Bluetooth service,Hybrid,0.080000,0.000000,1.000000,7,0.2176,0.920000
41,null pointer dereference in Bluetooth service,Taumode,0.000000,0.000000,1.000000,7,0.2176,1.000000
42,stored cross-site scripting XSS in user profile page,Cosine,1.000000,1.000000,1.000000,7,0.2146,0.000000
42,stored cross-site scripting XSS in user profile page,Hybrid,0.920000,0.857143,1.000000,7,0.2146,0.080000
42,stored cross-site scripting XSS in user profile page,Taumode,0.920000,0.857143,1.000000,7,0.2146,0.080000
43,format string vulnerability in logging daemon,Cosine,1.000000,1.000000,1.000000,7,0.2792,0.000000
43,format string vulnerability in logging daemon,Hybrid,0.920000,0.857143,1.000000,7,0.2792,0.080000
43,format string vulnerability in logging daemon,Taumode,0.920000,0.857143,1.000000,7,0.2792,0.080000
44,cross-site request forgery CSRF in admin password change form,Cosine,1.000000,1.000000,1.000000,7,0.4051,0.000000
44,cross-site request forgery CSRF in admin password change form,Hybrid,0.000000,0.000000,0.200000,7,0.4051,0.200000
44,cross-site request forgery CSRF in admin password change form,Taumode,0.000000,0.000000,1.000000,7,0.4051,1.000000
45,authenticated arbitrary file read path traversal,Cosine,1.000000,1.000000,1.000000,7,0.4099,0.000000
45,authenticated arbitrary file read path traversal,Hybrid,0.880000,1.000000,1.000000,7,0.4099,0.120000
45,authenticated arbitrary file read path traversal,Taumode,0.840000,0.857143,1.000000,7,0.4099,0.160000
46,OS command injection in diagnostic CGI script,Cosine,1.000000,1.000000,1.000000,7,0.2446,0.000000
46,OS command injection in diagnostic CGI script,Hybrid,0.960000,1.000000,1.000000,7,0.2446,0.040000
46,OS command injection in diagnostic CGI script,Taumode,0.960000,1.000000,1.000000,7,0.2446,0.040000
47,improper neutralization of CRLF in mail gateway,Cosine,1.000000,1.000000,1.000000,7,0.4408,0.000000
47,improper neutralization of CRLF in mail gateway,Hybrid,0.080000,0.000000,1.000000,7,0.4408,0.920000
47,improper neutralization of CRLF in mail gateway,Taumode,0.040000,0.000000,1.000000,7,0.4408,0.960000
48,directory traversal in backup restore endpoint,Cosine,1.000000,1.000000,1.000000,7,0.1520,0.000000
48,directory traversal in backup restore endpoint,Hybrid,0.880000,1.000000,1.000000,7,0.1520,0.120000
48,directory traversal in backup restore endpoint,Taumode,0.880000,1.000000,1.000000,7,0.1520,0.120000
49,SQL injection in login endpoint,Cosine,1.000000,1.000000,1.000000,7,0.5816,0.000000
49,SQL injection in login endpoint,Hybrid,0.560000,1.000000,1.000000,7,0.5816,0.440000
49,SQL injection in login endpoint,Taumode,0.120000,0.285714,1.000000,7,0.5816,0.880000
50,command injection in router web administration interface,Cosine,1.000000,1.000000,1.000000,7,0.5780,0.000000
50,command injection in router web administration interface,Hybrid,0.160000,0.142857,1.000000,7,0.5780,0.840000
50,command injection in router web administration interface,Taumode,0.000000,0.000000,1.000000,7,0.5780,1.000000
