query_id,query_text,tau_method,head_mean,tail_mean,tail_std,tail_to_head_ratio,tail_cv,tail_decay_rate,n_tail_items,total_items
9,host header injection in password reset workflow,hybrid (τ=0.72),0.872786,0.864533,0.002346,0.990544,0.002713,0.000353,22,25
9,host header injection in password reset workflow,taumode (τ=0.42),0.925751,0.920902,0.001383,0.994762,0.001502,0.000205,22,25
10,insecure direct object reference IDOR in invoice download,Cosine (τ=1.0),0.853608,0.841414,0.003632,0.985715,0.004317,0.000466,22,25
10,insecure direct object reference IDOR in invoice download,hybrid (τ=0.72),0.872027,0.857006,0.004834,0.982774,0.005641,0.000715,22,25
10,insecure direct object reference IDOR in invoice download,taumode (τ=0.42),0.920680,0.909588,0.003153,0.987952,0.003467,0.000494,22,25
11,sensitive information disclosure in cloud metadata service,Cosine (τ=1.0),0.868909,0.857482,0.002129,0.986848,0.002483,0.000406,22,25
11,sensitive information disclosure in cloud metadata service,hybrid (τ=0.72),0.847245,0.816537,0.009321,0.963756,0.011415,0.001406,22,25
11,sensitive information disclosure in cloud metadata service,taumode (τ=0.42),0.902762,0.859350,0.012661,0.951913,0.014733,0.002012,22,25
12,unsafe deserialization in Java RMI service,Cosine (τ=1.0),0.779142,0.768489,0.002764,0.986328,0.003596,0.000476,22,25
12,unsafe deserialization in Java RMI service,hybrid (τ=0.72),0.826300,0.815885,0.002946,0.987396,0.003611,0.000457,22,25
12,unsafe deserialization in Java RMI service,taumode (τ=0.42),0.895914,0.887735,0.001825,0.990871,0.002055,0.000287,22,25
13,improper certificate validation in mobile banking application,Cosine (τ=1.0),0.870028,0.852956,0.003607,0.980377,0.004229,0.000561,22,25
13,improper certificate validation in mobile banking application,hybrid (τ=0.72),0.873170,0.858004,0.004304,0.982631,0.005016,0.000612,22,25
13,improper certificate validation in mobile banking application,taumode (τ=0.42),0.917122,0.909558,0.003099,0.991753,0.003408,0.000502,22,25
14,race condition in temporary file creation,Cosine (τ=1.0),0.786954,0.776711,0.003302,0.986984,0.004251,0.000570,22,25
14,race condition in temporary file creation,hybrid (τ=0.72),0.845007,0.837014,0.001877,0.990540,0.002243,0.000324,22,25
14,race condition in temporary file creation,taumode (τ=0.42),0.909311,0.904636,0.001139,0.994860,0.001259,0.000192,22,25
15,path canonicalization bypass in file download servlet,Cosine (τ=1.0),0.842743,0.830796,0.004510,0.985823,0.005429,0.000666,22,25
15,path canonicalization bypass in file download servlet,hybrid (τ=0.72),0.885726,0.874182,0.004308,0.986968,0.004928,0.000653,22,25
15,path canonicalization bypass in file download servlet,taumode (τ=0.42),0.933154,0.926369,0.002609,0.992729,0.002816,0.000388,22,25
16,sandbox escape in browser extension messaging interface,Cosine (τ=1.0),0.846621,0.835693,0.003068,0.987092,0.003671,0.000534,22,25
16,sandbox escape in browser extension messaging interface,hybrid (τ=0.72),0.872480,0.856537,0.003150,0.981727,0.003678,0.000446,22,25
16,sandbox escape in browser extension messaging interface,taumode (τ=0.42),0.918896,0.907250,0.001840,0.987326,0.002028,0.000327,22,25
17,prototype pollution in Node.js configuration merge utility,Cosine (τ=1.0),0.870890,0.862894,0.002137,0.990819,0.002476,0.000289,22,25
17,prototype pollution in Node.js configuration merge utility,hybrid (τ=0.72),0.906994,0.901059,0.001639,0.993456,0.001819,0.000230,22,25
17,prototype pollution in Node.js configuration merge utility,taumode (τ=0.42),0.945677,0.942221,0.000967,0.996345,0.001026,0.000136,22,25
18,request smuggling in reverse proxy parser,Cosine (τ=1.0),0.853862,0.843563,0.002933,0.987939,0.003477,0.000403,22,25
18,request smuggling in reverse proxy parser,hybrid (τ=0.72),0.894766,0.887309,0.002118,0.991665,0.002387,0.000294,22,25
18,request smuggling in reverse proxy parser,taumode (τ=0.42),0.938592,0.934182,0.001242,0.995301,0.001329,0.000173,22,25
19,insecure default permissions in container runtime socket,Cosine (τ=1.0),0.847658,0.838305,0.002339,0.988965,0.002790,0.000379,22,25
19,insecure default permissions in container runtime socket,hybrid (τ=0.72),0.889443,0.882832,0.001354,0.992567,0.001534,0.000202,22,25
19,insecure default permissions in container runtime socket,taumode (τ=0.42),0.935467,0.931562,0.000792,0.995825,0.000850,0.000109,22,25
20,heap use-after-free in media streaming server,Cosine (τ=1.0),0.873441,0.860973,0.002867,0.985725,0.003330,0.000419,22,25
20,heap use-after-free in media streaming server,hybrid (τ=0.72),0.888144,0.877306,0.003405,0.987797,0.003881,0.000550,22,25
20,heap use-after-free in media streaming server,taumode (τ=0.42),0.932026,0.923880,0.002298,0.991259,0.002488,0.000381,22,25
21,business logic bypass in coupon redemption API,Cosine (τ=1.0),0.847678,0.832517,0.004567,0.982114,0.005485,0.000593,22,25
21,business logic bypass in coupon redemption API,hybrid (τ=0.72),0.890260,0.878405,0.003204,0.986685,0.003647,0.000424,22,25
21,business logic bypass in coupon redemption API,taumode (τ=0.42),0.935883,0.928964,0.001869,0.992608,0.002012,0.000248,22,25
22,heap buffer overflow in image processing library,Cosine (τ=1.0),0.826546,0.816229,0.003350,0.987518,0.004105,0.000478,22,25
22,heap buffer overflow in image processing library,hybrid (τ=0.72),0.845554,0.834638,0.003112,0.987091,0.003728,0.000483,22,25
22,heap buffer overflow in image processing library,taumode (τ=0.42),0.904165,0.898621,0.002263,0.993867,0.002518,0.000342,22,25
23,double free vulnerability in archive extraction library,Cosine (τ=1.0),0.839830,0.829070,0.003137,0.987187,0.003783,0.000616,22,25
23,double free vulnerability in archive extraction library,hybrid (τ=0.72),0.882464,0.874429,0.002331,0.990895,0.002666,0.000297,22,25
23,double free vulnerability in archive extraction library,taumode (τ=0.42),0.931333,0.926483,0.001371,0.994792,0.001479,0.000171,22,25
24,improper signature verification in software update channel,Cosine (τ=1.0),0.864175,0.857853,0.002119,0.992684,0.002471,0.000320,22,25
24,improper signature verification in software update channel,hybrid (τ=0.72),0.890991,0.875238,0.004039,0.982319,0.004615,0.000570,22,25
24,improper signature verification in software update channel,taumode (τ=0.42),0.932280,0.920786,0.003094,0.987671,0.003360,0.000484,22,25
25,authentication brute force due to missing rate limiting,Cosine (τ=1.0),0.844737,0.833171,0.002751,0.986308,0.003302,0.000425,22,25
25,authentication brute force due to missing rate limiting,hybrid (τ=0.72),0.857195,0.841728,0.004639,0.981956,0.005512,0.000726,22,25
25,authentication brute force due to missing rate limiting,taumode (τ=0.42),0.910471,0.901328,0.002900,0.989958,0.003217,0.000436,22,25
26,authentication bypass via JWT token manipulation,Cosine (τ=1.0),0.820232,0.810071,0.003671,0.987611,0.004531,0.000534,22,25
26,authentication bypass via JWT token manipulation,hybrid (τ=0.72),0.850193,0.834324,0.004179,0.981335,0.005008,0.000712,22,25
26,authentication bypass via JWT token manipulation,taumode (τ=0.42),0.906636,0.897472,0.002728,0.989893,0.003039,0.000405,22,25
27,use-after-free vulnerability in browser rendering engine,Cosine (τ=1.0),0.861725,0.850307,0.003156,0.986750,0.003712,0.000513,22,25
27,use-after-free vulnerability in browser rendering engine,hybrid (τ=0.72),0.900425,0.892081,0.002376,0.990733,0.002664,0.000382,22,25
27,use-after-free vulnerability in browser rendering engine,taumode (τ=0.42),0.941889,0.937015,0.001395,0.994825,0.001488,0.000224,22,25
28,hardcoded credentials in firmware update mechanism,Cosine (τ=1.0),0.840261,0.829516,0.003558,0.987213,0.004289,0.000533,22,25
28,hardcoded credentials in firmware update mechanism,hybrid (τ=0.72),0.884881,0.877093,0.002659,0.991199,0.003032,0.000385,22,25
28,hardcoded credentials in firmware update mechanism,taumode (τ=0.42),0.932688,0.928188,0.001591,0.995175,0.001714,0.000232,22,25
29,authorization bypass in GraphQL mutation resolver,Cosine (τ=1.0),0.828002,0.812759,0.003926,0.981592,0.004831,0.000624,22,25
29,authorization bypass in GraphQL mutation resolver,hybrid (τ=0.72),0.876061,0.865083,0.002822,0.987469,0.003262,0.000450,22,25
29,authorization bypass in GraphQL mutation resolver,taumode (τ=0.42),0.927554,0.921147,0.001636,0.993093,0.001776,0.000261,22,25
30,XML external entity XXE injection in SOAP parser,Cosine (τ=1.0),0.811890,0.803294,0.003382,0.989412,0.004210,0.000564,22,25
30,XML external entity XXE injection in SOAP parser,hybrid (τ=0.72),0.848734,0.836868,0.003518,0.986020,0.004204,0.000527,22,25
30,XML external entity XXE injection in SOAP parser,taumode (τ=0.42),0.908884,0.898568,0.001922,0.988650,0.002139,0.000330,22,25
31,improper access control in REST API DELETE method,Cosine (τ=1.0),0.875125,0.864203,0.003271,0.987520,0.003786,0.000526,22,25
31,improper access control in REST API DELETE method,hybrid (τ=0.72),0.891202,0.875999,0.005011,0.982941,0.005720,0.000774,22,25
31,improper access control in REST API DELETE method,taumode (τ=0.42),0.932797,0.921332,0.002965,0.987709,0.003218,0.000488,22,25
32,arbitrary file upload leading to remote code execution,Cosine (τ=1.0),0.874936,0.863298,0.002431,0.986697,0.002816,0.000367,22,25
32,arbitrary file upload leading to remote code execution,hybrid (τ=0.72),0.886215,0.871570,0.003520,0.983475,0.004039,0.000558,22,25
32,arbitrary file upload leading to remote code execution,taumode (τ=0.42),0.929899,0.918685,0.003163,0.987941,0.003443,0.000569,22,25
33,open redirect in single sign-on logout flow,Cosine (τ=1.0),0.884779,0.872303,0.002258,0.985900,0.002588,0.000405,22,25
33,open redirect in single sign-on logout flow,hybrid (τ=0.72),0.889032,0.868076,0.005913,0.976427,0.006811,0.000961,22,25
33,open redirect in single sign-on logout flow,taumode (τ=0.42),0.930245,0.912921,0.004115,0.981377,0.004507,0.000558,22,25
34,cross-tenant data exposure in multi-tenant storage service,Cosine (τ=1.0),0.877602,0.865387,0.003066,0.986081,0.003543,0.000454,22,25
34,cross-tenant data exposure in multi-tenant storage service,hybrid (τ=0.72),0.908614,0.902625,0.002051,0.993409,0.002272,0.000326,22,25
34,cross-tenant data exposure in multi-tenant storage service,taumode (τ=0.42),0.946517,0.943105,0.001210,0.996395,0.001283,0.000197,22,25
35,stack-based buffer overflow in DHCP client,Cosine (τ=1.0),0.739892,0.730225,0.003124,0.986935,0.004278,0.000525,22,25
35,stack-based buffer overflow in DHCP client,hybrid (τ=0.72),0.803823,0.796841,0.002235,0.991314,0.002805,0.000380,22,25
35,stack-based buffer overflow in DHCP client,taumode (τ=0.42),0.875840,0.870616,0.001513,0.994035,0.001737,0.000269,22,25
36,server-side request forgery SSRF in URL preview feature,Cosine (τ=1.0),0.868085,0.859010,0.003234,0.989546,0.003764,0.000443,22,25
36,server-side request forgery SSRF in URL preview feature,hybrid (τ=0.72),0.896713,0.889402,0.003240,0.991847,0.003643,0.000457,22,25
36,server-side request forgery SSRF in URL preview feature,taumode (τ=0.42),0.938791,0.929108,0.002483,0.989686,0.002672,0.000455,22,25
37,NoSQL injection in user search API,Cosine (τ=1.0),0.840533,0.834401,0.001869,0.992706,0.002239,0.000313,22,25
37,NoSQL injection in user search API,hybrid (τ=0.72),0.885158,0.880738,0.001342,0.995007,0.001523,0.000225,22,25
37,NoSQL injection in user search API,taumode (τ=0.42),0.932971,0.930385,0.000778,0.997228,0.000836,0.000130,22,25
38,improper input validation in SAML assertion processing,Cosine (τ=1.0),0.800537,0.784616,0.006157,0.980113,0.007847,0.000908,22,25
38,improper input validation in SAML assertion processing,hybrid (τ=0.72),0.834841,0.812296,0.005406,0.972994,0.006655,0.000938,22,25
38,improper input validation in SAML assertion processing,taumode (τ=0.42),0.892832,0.882006,0.002856,0.987875,0.003238,0.000397,22,25
39,denial of service via malformed network packets,Cosine (τ=1.0),0.896394,0.887720,0.002235,0.990323,0.002518,0.000367,22,25
39,denial of service via malformed network packets,hybrid (τ=0.72),0.911764,0.905978,0.001661,0.993654,0.001834,0.000256,22,25
39,denial of service via malformed network packets,taumode (τ=0.42),0.943601,0.934501,0.002548,0.990357,0.002726,0.000471,22,25
40,remote code execution in ERP web component,Cosine (τ=1.0),0.861214,0.854022,0.002049,0.991648,0.002399,0.000278,22,25
40,remote code execution in ERP web component,hybrid (τ=0.72),0.900064,0.894685,0.001425,0.994024,0.001593,0.000207,22,25
40,remote code execution in ERP web component,taumode (τ=0.42),0.941689,0.938542,0.000835,0.996658,0.000890,0.000120,22,25
41,null pointer dereference in Bluetooth service,Cosine (τ=1.0),0.862057,0.845654,0.003279,0.980972,0.003877,0.000571,22,25
41,null pointer dereference in Bluetooth service,hybrid (τ=0.72),0.870452,0.854912,0.004865,0.982147,0.005691,0.000675,22,25
41,null pointer dereference in Bluetooth service,taumode (τ=0.42),0.922605,0.907161,0.003517,0.983261,0.003877,0.000501,22,25
42,stored cross-site scripting XSS in user profile page,Cosine (τ=1.0),0.871019,0.866987,0.001754,0.995371,0.002023,0.000259,22,25
42,stored cross-site scripting XSS in user profile page,hybrid (τ=0.72),0.907113,0.903890,0.001340,0.996447,0.001483,0.000209,22,25
42,stored cross-site scripting XSS in user profile page,taumode (τ=0.42),0.945784,0.943890,0.000779,0.997998,0.000826,0.000123,22,25
43,format string vulnerability in logging daemon,Cosine (τ=1.0),0.851714,0.837121,0.003415,0.982865,0.004079,0.000618,22,25
43,format string vulnerability in logging daemon,hybrid (τ=0.72),0.893176,0.882108,0.002077,0.987608,0.002355,0.000365,22,25
43,format string vulnerability in logging daemon,taumode (τ=0.42),0.937599,0.931144,0.001218,0.993116,0.001308,0.000214,22,25
44,cross-site request forgery CSRF in admin password change form,Cosine (τ=1.0),0.890687,0.881133,0.002891,0.989273,0.003282,0.000564,22,25
44,cross-site request forgery CSRF in admin password change form,hybrid (τ=0.72),0.880956,0.868234,0.002716,0.985559,0.003128,0.000506,22,25
44,cross-site request forgery CSRF in admin password change form,taumode (τ=0.42),0.923933,0.917846,0.002085,0.993412,0.002271,0.000322,22,25
45,authenticated arbitrary file read path traversal,Cosine (τ=1.0),0.865199,0.848638,0.004029,0.980858,0.004748,0.000660,22,25
45,authenticated arbitrary file read path traversal,hybrid (τ=0.72),0.898506,0.890418,0.002947,0.990999,0.003310,0.000468,22,25
45,authenticated arbitrary file read path traversal,taumode (τ=0.42),0.940702,0.935806,0.001745,0.994795,0.001864,0.000280,22,25
46,OS command injection in diagnostic CGI script,Cosine (τ=1.0),0.844248,0.834919,0.002197,0.988950,0.002631,0.000375,22,25
46,OS command injection in diagnostic CGI script,hybrid (τ=0.72),0.887839,0.881019,0.001642,0.992318,0.001864,0.000278,22,25
46,OS command injection in diagnostic CGI script,taumode (τ=0.42),0.934543,0.930544,0.000951,0.995720,0.001021,0.000157,22,25
47,improper neutralization of CRLF in mail gateway,Cosine (τ=1.0),0.878174,0.870015,0.003416,0.990709,0.003927,0.000496,22,25
47,improper neutralization of CRLF in mail gateway,hybrid (τ=0.72),0.896923,0.886731,0.002405,0.988637,0.002712,0.000360,22,25
47,improper neutralization of CRLF in mail gateway,taumode (τ=0.42),0.935892,0.928670,0.001806,0.992283,0.001945,0.000295,22,25
48,directory traversal in backup restore endpoint,Cosine (τ=1.0),0.793726,0.780018,0.003237,0.982729,0.004149,0.000502,22,25
48,directory traversal in backup restore endpoint,hybrid (τ=0.72),0.851433,0.841364,0.002477,0.988173,0.002943,0.000392,22,25
48,directory traversal in backup restore endpoint,taumode (τ=0.42),0.913263,0.907383,0.001439,0.993562,0.001586,0.000231,22,25
49,SQL injection in login endpoint,Cosine (τ=1.0),0.817541,0.803826,0.004157,0.983224,0.005171,0.000626,22,25
49,SQL injection in login endpoint,hybrid (τ=0.72),0.859221,0.839735,0.003910,0.977322,0.004657,0.000610,22,25
49,SQL injection in login endpoint,taumode (τ=0.42),0.910548,0.899404,0.002867,0.987761,0.003188,0.000428,22,25
50,command injection in router web administration interface,Cosine (τ=1.0),0.817609,0.804943,0.004398,0.984508,0.005464,0.000623,22,25
50,command injection in router web administration interface,hybrid (τ=0.72),0.836244,0.825457,0.002866,0.987101,0.003472,0.000490,22,25
50,command injection in router web administration interface,taumode (τ=0.42),0.897247,0.887509,0.003560,0.989146,0.004011,0.000513,22,25
