query_id,query_text,tau_method,rank,cve_id,title,score
3,SQL injection in login endpoint,Cosine,6,CVE-2018-1999036,(no title),0.453326
3,SQL injection in login endpoint,Cosine,7,CVE-2018-1999040,(no title),0.450278
3,SQL injection in login endpoint,Cosine,8,CVE-1999-1260,(no title),0.449980
3,SQL injection in login endpoint,Cosine,9,CVE-1999-1556,(no title),0.449089
3,SQL injection in login endpoint,Cosine,10,CVE-2018-19995,(no title),0.442830
3,SQL injection in login endpoint,Hybrid,1,CVE-2018-19998,(no title),0.742948
3,SQL injection in login endpoint,Hybrid,2,CVE-2018-1999028,(no title),0.699554
3,SQL injection in login endpoint,Hybrid,3,CVE-2018-1999039,(no title),0.691272
3,SQL injection in login endpoint,Hybrid,4,CVE-1999-0360,(no title),0.663447
3,SQL injection in login endpoint,Hybrid,5,CVE-2018-1999036,(no title),0.660956
3,SQL injection in login endpoint,Hybrid,6,CVE-2018-1999040,(no title),0.658800
3,SQL injection in login endpoint,Hybrid,7,CVE-2018-19995,(no title),0.654516
3,SQL injection in login endpoint,Hybrid,8,CVE-1999-1260,(no title),0.651924
3,SQL injection in login endpoint,Hybrid,9,CVE-2018-1999031,(no title),0.651610
3,SQL injection in login endpoint,Hybrid,10,CVE-1999-1188,(no title),0.651159
3,SQL injection in login endpoint,Taumode,1,CVE-2018-19998,(no title),0.908201
3,SQL injection in login endpoint,Taumode,2,CVE-2018-1999028,(no title),0.892601
3,SQL injection in login endpoint,Taumode,3,CVE-2018-1999039,(no title),0.889641
3,SQL injection in login endpoint,Taumode,4,CVE-2018-1999036,(no title),0.879515
3,SQL injection in login endpoint,Taumode,5,CVE-2018-1999040,(no title),0.878296
3,SQL injection in login endpoint,Taumode,6,CVE-2018-19995,(no title),0.877343
3,SQL injection in login endpoint,Taumode,7,CVE-1999-1055,(no title),0.874797
3,SQL injection in login endpoint,Taumode,8,CVE-2018-1999031,(no title),0.872156
3,SQL injection in login endpoint,Taumode,9,CVE-2018-1999027,(no title),0.870932
3,SQL injection in login endpoint,Taumode,10,CVE-1999-0360,(no title),0.870839
