query_id,metric,winner
15,tail_decay,Taumode
15,semantic_recall,Cosine
15,tolerant_recall,Cosine
16,tail_to_head_ratio,Taumode
16,tail_cv,Taumode
16,tail_decay,Taumode
16,semantic_recall,Cosine
16,tolerant_recall,Cosine
17,tail_to_head_ratio,Taumode
17,tail_cv,Taumode
17,tail_decay,Taumode
17,semantic_recall,Cosine
17,tolerant_recall,Cosine
18,tail_to_head_ratio,Taumode
18,tail_cv,Taumode
18,tail_decay,Taumode
18,semantic_recall,Cosine
18,tolerant_recall,Cosine
19,tail_to_head_ratio,Taumode
19,tail_cv,Taumode
19,tail_decay,Taumode
19,semantic_recall,Cosine
19,tolerant_recall,Cosine
20,tail_to_head_ratio,Taumode
20,tail_cv,Taumode
20,tail_decay,Taumode
20,semantic_recall,Cosine
20,tolerant_recall,Cosine
21,tail_to_head_ratio,Taumode
21,tail_cv,Taumode
21,tail_decay,Taumode
21,semantic_recall,Cosine
21,tolerant_recall,Cosine
22,tail_to_head_ratio,Taumode
22,tail_cv,Taumode
22,tail_decay,Taumode
22,semantic_recall,Cosine
22,tolerant_recall,Cosine
23,tail_to_head_ratio,Taumode
23,tail_cv,Taumode
23,tail_decay,Taumode
23,semantic_recall,Cosine
23,tolerant_recall,Cosine
24,tail_to_head_ratio,Taumode
24,tail_cv,Taumode
24,tail_decay,Taumode
24,semantic_recall,Cosine
24,tolerant_recall,Cosine
25,tail_to_head_ratio,Taumode
25,tail_cv,Taumode
25,tail_decay,Taumode
25,semantic_recall,Cosine
25,tolerant_recall,Cosine
26,tail_to_head_ratio,Taumode
26,tail_cv,Taumode
26,tail_decay,Taumode
26,semantic_recall,Cosine
26,tolerant_recall,Cosine
27,tail_to_head_ratio,Taumode
27,tail_cv,Taumode
27,tail_decay,Taumode
27,semantic_recall,Cosine
27,tolerant_recall,Cosine
28,tail_to_head_ratio,Taumode
28,tail_cv,Taumode
28,tail_decay,Taumode
28,semantic_recall,Cosine
28,tolerant_recall,Cosine
29,tail_to_head_ratio,Taumode
29,tail_cv,Taumode
29,tail_decay,Taumode
29,semantic_recall,Cosine
29,tolerant_recall,Cosine
30,tail_to_head_ratio,Taumode
30,tail_cv,Taumode
30,tail_decay,Taumode
30,semantic_recall,Cosine
30,tolerant_recall,Cosine
31,tail_to_head_ratio,Taumode
31,tail_cv,Taumode
31,tail_decay,Taumode
31,semantic_recall,Cosine
31,tolerant_recall,Cosine
32,tail_to_head_ratio,Taumode
32,tail_cv,Taumode
32,tail_decay,Taumode
32,semantic_recall,Cosine
32,tolerant_recall,Cosine
33,tail_to_head_ratio,Taumode
33,tail_cv,Taumode
33,tail_decay,Taumode
33,semantic_recall,Cosine
33,tolerant_recall,Cosine
34,tail_to_head_ratio,Taumode
34,tail_cv,Taumode
34,tail_decay,Taumode
34,semantic_recall,Cosine
34,tolerant_recall,Cosine
35,tail_to_head_ratio,Taumode
35,tail_cv,Taumode
35,tail_decay,Taumode
35,semantic_recall,Cosine
35,tolerant_recall,Cosine
36,tail_to_head_ratio,Taumode
36,tail_cv,Taumode
36,tail_decay,Taumode
36,semantic_recall,Cosine
36,tolerant_recall,Cosine
37,tail_to_head_ratio,Taumode
37,tail_cv,Taumode
37,tail_decay,Taumode
37,semantic_recall,Cosine
37,tolerant_recall,Cosine
38,tail_to_head_ratio,Taumode
38,tail_cv,Taumode
38,tail_decay,Taumode
38,semantic_recall,Cosine
38,tolerant_recall,Cosine
39,tail_to_head_ratio,Hybrid
39,tail_cv,Taumode
39,tail_decay,Taumode
39,semantic_recall,Cosine
39,tolerant_recall,Cosine
40,tail_to_head_ratio,Taumode
40,tail_cv,Taumode
40,tail_decay,Taumode
40,semantic_recall,Cosine
40,tolerant_recall,Cosine
41,tail_to_head_ratio,Taumode
41,tail_cv,Taumode
41,tail_decay,Taumode
41,semantic_recall,Cosine
41,tolerant_recall,Cosine
42,tail_to_head_ratio,Taumode
42,tail_cv,Taumode
42,tail_decay,Taumode
42,semantic_recall,Cosine
42,tolerant_recall,Cosine
43,tail_to_head_ratio,Taumode
43,tail_cv,Taumode
43,tail_decay,Taumode
43,semantic_recall,Cosine
43,tolerant_recall,Cosine
44,tail_to_head_ratio,Taumode
44,tail_cv,Taumode
44,tail_decay,Taumode
44,semantic_recall,Cosine
44,tolerant_recall,Cosine
45,tail_to_head_ratio,Taumode
45,tail_cv,Taumode
45,tail_decay,Taumode
45,semantic_recall,Cosine
45,tolerant_recall,Cosine
46,tail_to_head_ratio,Taumode
46,tail_cv,Taumode
46,tail_decay,Taumode
46,semantic_recall,Cosine
46,tolerant_recall,Cosine
47,tail_to_head_ratio,Taumode
47,tail_cv,Taumode
47,tail_decay,Taumode
47,semantic_recall,Cosine
47,tolerant_recall,Cosine
48,tail_to_head_ratio,Taumode
48,tail_cv,Taumode
48,tail_decay,Taumode
48,semantic_recall,Cosine
48,tolerant_recall,Cosine
49,tail_to_head_ratio,Taumode
49,tail_cv,Taumode
49,tail_decay,Taumode
49,semantic_recall,Cosine
49,tolerant_recall,Cosine
50,tail_to_head_ratio,Taumode
50,tail_cv,Taumode
50,tail_decay,Taumode
50,semantic_recall,Cosine
50,tolerant_recall,Cosine
