tau,metric,value,reference_tau,reference_value,raw_delta,directional_delta,direction
0.7,traditional_recall,0.8059999999999999,1.0,1.0,-0.19400000000000006,-0.19400000000000006,higher_is_better
0.8,traditional_recall,0.8439999999999999,1.0,1.0,-0.15600000000000014,-0.15600000000000014,higher_is_better
1.0,traditional_recall,1.0,1.0,1.0,0.0,0.0,higher_is_better
0.4,semantic_recall,0.6466666666666667,1.0,1.0,-0.3533333333333333,-0.3533333333333333,higher_is_better
0.5,semantic_recall,0.7133333333333333,1.0,1.0,-0.28666666666666674,-0.28666666666666674,higher_is_better
0.55,semantic_recall,0.7316666666666667,1.0,1.0,-0.2683333333333333,-0.2683333333333333,higher_is_better
0.6,semantic_recall,0.7716666666666666,1.0,1.0,-0.2283333333333334,-0.2283333333333334,higher_is_better
0.65,semantic_recall,0.8399999999999999,1.0,1.0,-0.16000000000000014,-0.16000000000000014,higher_is_better
0.7,semantic_recall,0.8599999999999999,1.0,1.0,-0.14000000000000012,-0.14000000000000012,higher_is_better
0.8,semantic_recall,0.9133333333333333,1.0,1.0,-0.08666666666666667,-0.08666666666666667,higher_is_better
1.0,semantic_recall,1.0,1.0,1.0,0.0,0.0,higher_is_better
0.4,tolerant_recall,1.0,1.0,1.0,0.0,0.0,higher_is_better
0.5,tolerant_recall,0.996,1.0,1.0,-0.0040000000000000036,-0.0040000000000000036,higher_is_better
0.55,tolerant_recall,0.998,1.0,1.0,-0.0020000000000000018,-0.0020000000000000018,higher_is_better
0.6,tolerant_recall,0.9919999999999999,1.0,1.0,-0.008000000000000118,-0.008000000000000118,higher_is_better
0.65,tolerant_recall,0.992,1.0,1.0,-0.008000000000000007,-0.008000000000000007,higher_is_better
0.7,tolerant_recall,0.99,1.0,1.0,-0.010000000000000009,-0.010000000000000009,higher_is_better
0.8,tolerant_recall,0.99,1.0,1.0,-0.010000000000000009,-0.010000000000000009,higher_is_better
1.0,tolerant_recall,1.0,1.0,1.0,0.0,0.0,higher_is_better
0.4,semantic_uplift_internal,0.33399999999999996,1.0,0.0,0.33399999999999996,0.33399999999999996,higher_is_better
0.5,semantic_uplift_internal,0.286,1.0,0.0,0.286,0.286,higher_is_better
0.55,semantic_uplift_internal,0.26599999999999996,1.0,0.0,0.26599999999999996,0.26599999999999996,higher_is_better
0.6,semantic_uplift_internal,0.23799999999999996,1.0,0.0,0.23799999999999996,0.23799999999999996,higher_is_better
0.65,semantic_uplift_internal,0.20800000000000002,1.0,0.0,0.20800000000000002,0.20800000000000002,higher_is_better
0.7,semantic_uplift_internal,0.184,1.0,0.0,0.184,0.184,higher_is_better
0.8,semantic_uplift_internal,0.146,1.0,0.0,0.146,0.146,higher_is_better
1.0,semantic_uplift_internal,0.0,1.0,0.0,0.0,0.0,higher_is_better
0.4,semantic_uplift_qrel,0.5219999999999999,1.0,0.49199999999999994,0.02999999999999997,0.02999999999999997,higher_is_better
0.5,semantic_uplift_qrel,0.49599999999999994,1.0,0.49199999999999994,0.0040000000000000036,0.0040000000000000036,higher_is_better
0.55,semantic_uplift_qrel,0.49199999999999994,1.0,0.49199999999999994,0.0,0.0,higher_is_better
0.6,semantic_uplift_qrel,0.4819999999999999,1.0,0.49199999999999994,-0.010000000000000064,-0.010000000000000064,higher_is_better
0.65,semantic_uplift_qrel,0.46999999999999986,1.0,0.49199999999999994,-0.022000000000000075,-0.022000000000000075,higher_is_better
0.7,semantic_uplift_qrel,0.4699999999999999,1.0,0.49199999999999994,-0.02200000000000002,-0.02200000000000002,higher_is_better
0.8,semantic_uplift_qrel,0.46799999999999997,1.0,0.49199999999999994,-0.023999999999999966,-0.023999999999999966,higher_is_better
1.0,semantic_uplift_qrel,0.49199999999999994,1.0,0.49199999999999994,0.0,0.0,higher_is_better
0.4,tail_to_head_ratio,0.9800895687177058,1.0,0.9486224857953602,0.03146708292234557,0.03146708292234557,higher_is_better
0.5,tail_to_head_ratio,0.975317151787956,1.0,0.9486224857953602,0.026694665992595734,0.026694665992595734,higher_is_better
0.55,tail_to_head_ratio,0.9731918256007874,1.0,0.9486224857953602,0.024569339805427193,0.024569339805427193,higher_is_better
0.6,tail_to_head_ratio,0.9708592641445312,1.0,0.9486224857953602,0.022236778349170927,0.022236778349170927,higher_is_better
0.65,tail_to_head_ratio,0.968569495203471,1.0,0.9486224857953602,0.019947009408110783,0.019947009408110783,higher_is_better
0.7,tail_to_head_ratio,0.9661578774118559,1.0,0.9486224857953602,0.017535391616495644,0.017535391616495644,higher_is_better
0.8,tail_to_head_ratio,0.9607023602469624,1.0,0.9486224857953602,0.01207987445160219,0.01207987445160219,higher_is_better
1.0,tail_to_head_ratio,0.9486224857953602,1.0,0.9486224857953602,0.0,0.0,higher_is_better
0.4,tail_cv,0.004592751131806864,1.0,0.01361748303069831,-0.009024731898891445,0.009024731898891445,lower_is_better
0.5,tail_cv,0.006039793808843715,1.0,0.01361748303069831,-0.007577689221854595,0.007577689221854595,lower_is_better
0.55,tail_cv,0.0067982668885173715,1.0,0.01361748303069831,-0.006819216142180938,0.006819216142180938,lower_is_better
0.6,tail_cv,0.007588999461894606,1.0,0.01361748303069831,-0.006028483568803704,0.006028483568803704,lower_is_better
0.65,tail_cv,0.008189428087105292,1.0,0.01361748303069831,-0.005428054943593018,0.005428054943593018,lower_is_better
0.7,tail_cv,0.008855928317772467,1.0,0.01361748303069831,-0.004761554712925843,0.004761554712925843,lower_is_better
0.8,tail_cv,0.010490578442450675,1.0,0.01361748303069831,-0.0031269045882476344,0.0031269045882476344,lower_is_better
1.0,tail_cv,0.01361748303069831,1.0,0.01361748303069831,0.0,-0.0,lower_is_better
0.4,tail_decay,0.0016474744983627496,1.0,0.004203326840323453,-0.0025558523419607028,0.0025558523419607028,lower_is_better
0.5,tail_decay,0.002179170036886276,1.0,0.004203326840323453,-0.0020241568034371766,0.0020241568034371766,lower_is_better
0.55,tail_decay,0.0024303747892076037,1.0,0.004203326840323453,-0.001772952051115849,0.001772952051115849,lower_is_better
0.6,tail_decay,0.0026676592891601647,1.0,0.004203326840323453,-0.0015356675511632879,0.0015356675511632879,lower_is_better
0.65,tail_decay,0.002829043879678718,1.0,0.004203326840323453,-0.0013742829606447344,0.0013742829606447344,lower_is_better
0.7,tail_decay,0.002963738541648935,1.0,0.004203326840323453,-0.0012395882986745176,0.0012395882986745176,lower_is_better
0.8,tail_decay,0.003381084924268874,1.0,0.004203326840323453,-0.0008222419160545786,0.0008222419160545786,lower_is_better
1.0,tail_decay,0.004203326840323453,1.0,0.004203326840323453,0.0,-0.0,lower_is_better
