tau,metric,mean,std_dev,ci95,n_queries
0.6,semantic_recall,0.7716666666666666,0.31443448859666717,0.08715679357724597,50
0.6,tolerant_recall,0.9919999999999999,0.044446711960297286,0.012320000000000003,50
0.6,semantic_uplift_internal,0.23799999999999996,0.2117854131532429,0.05870392150444465,50
0.6,semantic_uplift_qrel,0.4819999999999999,0.3274452750663312,0.09076319959102366,50
0.6,tail_to_head_ratio,0.9708592641445312,0.017959786852872313,0.004978198932353758,50
0.6,tail_cv,0.007588999461894606,0.00322364162535129,0.0008935478705332394,50
0.6,tail_decay,0.0026676592891601647,0.0011118481062502338,0.00030818857154695276,50
0.65,ndcg,0.46483568327019986,0.3160973484355758,0.08761771480880196,50
0.65,relevance_recall,0.522,0.313173356178983,0.08680722550571467,50
0.65,traditional_recall,0.7839999999999999,0.21030589965231936,0.058293821284935494,50
0.65,semantic_recall,0.8399999999999999,0.2796174905886324,0.07750601410356633,50
0.65,tolerant_recall,0.992,0.05656854249492382,0.015680000000000003,50
0.65,semantic_uplift_internal,0.20800000000000002,0.19042380231944725,0.05278278507240784,50
0.65,semantic_uplift_qrel,0.46999999999999986,0.32779411158810756,0.09085989214169252,50
0.65,tail_to_head_ratio,0.968569495203471,0.019430630291895526,0.005385895933314204,50
0.65,tail_cv,0.008189428087105292,0.0037036847750040254,0.0010266090429548256,50
0.65,tail_decay,0.002829043879678718,0.0012543244511725071,0.0003476809994910123,50
0.7,ndcg,0.4668049069423323,0.3128564119038258,0.08671937303479568,50
0.7,relevance_recall,0.52,0.31167748898959186,0.08639259227503247,50
0.7,traditional_recall,0.8059999999999999,0.18561535826673878,0.05144995238093034,50
0.7,semantic_recall,0.8599999999999999,0.2527849417140381,0.07006841101539427,50
0.7,tolerant_recall,0.99,0.07071067811865474,0.019599999999999996,50
0.7,semantic_uplift_internal,0.184,0.16457738084473908,0.04561852255389251,50
0.7,semantic_uplift_qrel,0.4699999999999999,0.3284161123592185,0.09103230195924959,50
0.7,tail_to_head_ratio,0.9661578774118559,0.02080738694740698,0.005767513408439301,50
0.7,tail_cv,0.008855928317772467,0.0038777891952906747,0.0010748683261127688,50
0.7,tail_decay,0.002963738541648935,0.0012380088805744056,0.0003431585540523449,50
0.8,ndcg,0.46623594056174256,0.3115263806055095,0.0863507071679056,50
0.8,relevance_recall,0.522,0.31317335617898306,0.08680722550571468,50
0.8,traditional_recall,0.8439999999999999,0.14730227148171704,0.04083010653917033,50
0.8,semantic_recall,0.9133333333333333,0.19988658916014626,0.05540573576404843,50
0.8,tolerant_recall,0.99,0.05802884574739971,0.016084775410306475,50
0.8,semantic_uplift_internal,0.146,0.1312576528381162,0.03638276515054896,50
0.8,semantic_uplift_qrel,0.46799999999999997,0.32603993745602167,0.09037365987941397,50
0.8,tail_to_head_ratio,0.9607023602469624,0.02337351444161576,0.006478807660236655,50
0.8,tail_cv,0.010490578442450675,0.004380525566283024,0.0012142197385672686,50
0.8,tail_decay,0.003381084924268874,0.001318823784174688,0.0003655593024641701,50
1.0,ndcg,0.45535633781059737,0.304024076793743,0.08427117464717546,50
1.0,relevance_recall,0.508,0.3128799730743731,0.08672590385807462,50
1.0,traditional_recall,1.0,0.0,0.0,50
1.0,semantic_recall,1.0,0.0,0.0,50
1.0,tolerant_recall,1.0,0.0,0.0,50
1.0,semantic_uplift_internal,0.0,0.0,0.0,50
1.0,semantic_uplift_qrel,0.49199999999999994,0.31287997307437304,0.0867259038580746,50
1.0,tail_to_head_ratio,0.9486224857953602,0.02881096057852758,0.007985990834249458,50
1.0,tail_cv,0.01361748303069831,0.005824300777258776,0.001614413809505746,50
1.0,tail_decay,0.004203326840323453,0.0018357306879402424,0.0005088385862069181,50
